candidate,contract,direction,entry_adverse_ticks,entry_fill,entry_theo,entry_ts,event_id,exit_px,exit_ts,expiry_sec,extras,first_of_day,opening_bar,outcome,penetration_points,points,points_after_cost,r_after_cost,r_multiple,reclaim_lag_sec,reclaim_mode,reclaim_ts,risk_points,risk_usd,seconds_from_rth_open,session_bucket,side,sl_buffer_ticks,status,stop,target,target_r,trading_date
DEEP_CONT_DIAG,NQU5,LONG,1.0,22277.5,22277.25,1750771860,NQ|NQU5|PDH|2025-06-24|1750771800,22418.75,1750794900,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,True,TIME_EXIT,195.5,141.25,141.05,0.7634641407307172,0.7645466847090663,,immediate_next_open,,184.75,3695.0,0,0930_1000,pdh_sweep,1,ENTERED,22092.75,22554.625,1.5,2025-06-24
DEEP_CONT_DIAG,NQU5,LONG,1.0,22517.5,22517.25,1750858260,NQ|NQU5|PDH|2025-06-25|1750858200,22448.0,1750864380,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,True,STOP_HIT,79.5,-69.5,-69.7,-1.0028776978417266,-1.0,,immediate_next_open,,69.5,1390.0,0,0930_1000,pdh_sweep,1,ENTERED,22448.0,22621.75,1.5,2025-06-25
DEEP_CONT_DIAG,NQU5,LONG,1.0,22714.5,22714.25,1751031060,NQ|NQU5|PDH|2025-06-27|1751031000,22693.75,1751031120,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,True,STOP_HIT,23.0,-20.75,-20.95,-1.0096385542168675,-1.0,,immediate_next_open,,20.75,415.0,0,0930_1000,pdh_sweep,1,ENTERED,22693.75,22745.625,1.5,2025-06-27
DEEP_CONT_DIAG,NQU5,LONG,1.0,22869.75,22869.5,1751290260,NQ|NQU5|PDH|2025-06-30|1751290200,22825.25,1751290380,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,True,STOP_HIT,50.0,-44.5,-44.7,-1.0044943820224719,-1.0,,immediate_next_open,,44.5,890.0,0,0930_1000,pdh_sweep,1,ENTERED,22825.25,22936.5,1.5,2025-06-30
DEEP_CONT_DIAG,NQU5,LONG,1.0,23004.0,23003.75,1752067860,NQ|NQU5|PDH|2025-07-09|1752067800,23066.25,1752068700,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,True,TARGET_HIT,41.75,62.25,62.05,1.4951807228915661,1.5,,immediate_next_open,,41.5,830.0,0,0930_1000,pdh_sweep,1,ENTERED,22962.5,23066.25,1.5,2025-07-09
DEEP_CONT_DIAG,NQU5,LONG,1.0,,,,NQ|NQU5|PDH|2025-07-18|1752845400,,,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,True,,23.75,,,,,,immediate_next_open,,,,0,0930_1000,pdh_sweep,1,REJECT_STOP_TOO_TIGHT,,,1.5,2025-07-18
DEEP_CONT_DIAG,NQU5,LONG,1.0,23391.0,23390.75,1753363860,NQ|NQU5|PDH|2025-07-24|1753363800,23324.5,1753366200,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,True,STOP_HIT,74.75,-66.5,-66.7,-1.0030075187969925,-1.0,,immediate_next_open,,66.5,1330.0,0,0930_1000,pdh_sweep,1,ENTERED,23324.5,23490.75,1.5,2025-07-24
DEEP_CONT_DIAG,NQU5,LONG,1.0,23488.5,23488.25,1753709460,NQ|NQU5|PDH|2025-07-28|1753709400,23475.75,1753709460,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,True,STOP_HIT,18.75,-12.75,-12.95,-1.0156862745098039,-1.0,,immediate_next_open,,12.75,255.0,0,0930_1000,pdh_sweep,1,ENTERED,23475.75,23507.625,1.5,2025-07-28
DEEP_CONT_DIAG,NQU5,LONG,1.0,23620.5,23620.25,1753795860,NQ|NQU5|PDH|2025-07-29|1753795800,23528.75,1753800780,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,True,STOP_HIT,94.25,-91.75,-91.95,-1.0021798365122616,-1.0,,immediate_next_open,,91.75,1835.0,0,0930_1000,pdh_sweep,1,ENTERED,23528.75,23758.125,1.5,2025-07-29
DEEP_CONT_DIAG,NQU5,SHORT,1.0,23412.0,23412.25,1753902000,NQ|NQU5|PDL|2025-07-30|1753901940,23397.75,1753902000,300,"{""note"": ""diagnostic_only_same_reclaim_engine_not_a_candidate""}",True,False,TARGET_HIT,21.0,14.25,14.05,1.4789473684210528,1.5,,immediate_next_open,,9.5,190.0,19740,1330_1530,pdl_sweep,1,ENTERED,23421.5,23397.75,1.5,2025-07-30
